University name
"788","Azure College"
"789","Azure College at Sebring"
"790","Azusa Adult School"
"791","Azusa Pacific Online University"
"792","Azusa Pacific University"
"793","B M Spurr School of Practical Nursing"
"794","B-Unique Barber Academy"
"795","B.H. Carroll Theological Institute"
"796","Babel University Professional School of Translation"
"797","Babson College"
"798","Bacone College"
"799","Bainbridge State College"
"800","Bais Binyomin Academy"
"801","Bais HaMedrash & Mesivta of Baltimore"
"802","Bais Medrash Mayan Hatorah"
"803","Bais Medrash Nesivos HaTorah"
"804","Bais Medrash Toras Chesed"
"805","Bais Medrash Zichron Meir"
"806","Baker College"
"807","Baker College Center for Graduate Studies"
"808","Baker University"
"809","Baker University School of Nursing"
"810","Bakersfield Adult Schools"
"811","Bakersfield College"
"812","Bakke Graduate University"
"813","Baldwin Beauty Schools"
"814","Baldwin Park Adult and Community Education"
"815","Baldwin-Wallace College"
"816","Baldy View Regional Occupational Program"
"817","Ball Memorial Hospital"
"818","Ball State University"
"819","Ballet Hispanico School"
"820","Ballet Idaho Academy"
"821","Baltimore City Community College"
"822","Baltimore Hebrew University Inc"
"823","Baltimore International College"
"824","Baltimore School of Massage"
"825","Baltimore Studio of Hair Design"
"826","Bamberg Job Corps Center"
"827","Bancroft School of Massage Therapy"
"828","Bangor Theological Seminary"
"829","Bank Street College of Education"
"830","Banner College-Arlington"
"831","Banner Desert Medical Center"
"832","Banner Good Samaritan Medical Center"
"833","Banner Institute"
"834","Baptist Bible College and Graduate School of Theology"
"835","Baptist Health"
"836","Baptist Health Care"
"837","Baptist Health Little Rock"
"838","Baptist Health Louisville"
"839","Baptist Health Schools Little Rock"
"840","Baptist Health System"
"841","Baptist Health System School of Health Professions"
"842","Baptist Hospitals of Southeast Texas"
"843","Baptist Medical Center"
"844","Baptist Medical Center South"
"845","Baptist Memorial College of Health Sciences"
"846","Baptist Missionary Association Theological Seminary"
"847","Baptist Seminary of Kentucky"
"848","Baptist Theological Seminary at Richmond"
"849","Baptist University of the Americas"
"850","Barber Institute of Texas, LLC"
"851","Barber School of Pittsburgh"
